sim_number,price_vnd
776260543,5000000
822977488,1000000
707963979,3000000
344134986,450000
795718118,1000000
974828772,450000
818999191,5000000
329730568,450000
585444777,13000000
904179189,13125000
343759368,450000
342855345,450000
763644188,1000000
943784318,1000000
335342968,450000
588086886,3000000
858130713,500000
375808339,450000
367527866,450000
764011368,3000000
378569788,450000
931209686,3000000
386495666,57000000
776266263,1000000
327007239,450000
947428605,1000000
944036827,1000000
901889987,72000000
967267781,500000
327010400,450000
911047555,500000
943669689,13000000
375935639,500000
943533543,1000000
865161510,450000
769739123,1000000
326160839,450000
865660789,3000000
814398899,14000000
983279854,5000000
352089198,3000000
886696996,5000000
942536206,1000000
362153153,1000000
904950956,1000000
912441993,5000000
852218557,60000000
773357857,1000000
971451456,500000
828593838,3000000
888886216,10300000
941193095,1000000
964758789,90000000
925659669,12500000
931395779,3000000
823459393,500000
901255661,5000000
767186868,12000000
762551966,1000000
708076336,1000000
384050888,13000000
976670701,450000
368804994,1000000
932342542,10000000
328178586,450000
879301068,500000
784123789,13000000
797669666,11000000
825563678,11325000
919026866,5000000
879591269,500000
853957957,5000000
338111186,450000
708066061,1000000
702758123,1000000
934109125,200000000
326588813,450000
775928888,57000000
763766123,1000000
941744298,1000000
762615611,1000000
933002268,5000000
329333046,450000
888985859,3000000
345657888,10600000
909138507,1000000
978626369,10000000
979999307,12000000
898582989,10000000
566103779,1000000
936180407,3000000
931847086,3000000
362259468,450000
879197985,500000
981579269,5000000
846634234,500000
339952555,12000000
827131616,3000000
973232724,450000
828430567,1000000
377737373,90000000
986152024,3000000
365262777,3000000
343870388,450000
344283889,450000
779802666,10300000
866275552,450000
898822121,1000000
983248444,500000
763590592,1000000
966993107,500000
343274286,450000
795690697,1000000
908179900,500000
336232039,450000
866998923,450000
343788939,450000
948874921,1000000
867023502,450000
907667893,65000000
942517151,3000000
939267979,3000000
326849066,450000
902571757,500000
763749745,1000000
799098432,1000000
932320279,3000000
947645566,500000
775666866,10000000
343745288,450000
358190886,450000
342717008,450000
984934446,450000
799163543,1000000
702644722,1000000
343992888,10500000
971201184,3000000
812002888,10100000
357770239,450000
796010110,10000000
879484131,500000
342141996,5000000
866985676,450000
981037997,1000000
945441689,3000000
795626262,1000000
974861231,450000
932305439,3000000
373433577,10000000
762626621,1000000
819008833,1000000
862266168,5000000
974430243,500000
343698439,450000
865187892,450000
865196496,450000
922781379,500000
769888846,68800000
962111661,3000000
335704939,450000
343586366,450000
364134766,500000
383296886,5000000
325671319,450000
707999779,15000000
334361388,450000
799171764,1000000
938583969,1000000
889626656,1000000
945990718,1000000
787283555,5000000
965262087,500000
799184584,1000000
334271204,450000
385681586,450000
762771961,1000000
812011983,15000000
983642348,450000
856167979,3000000
767131345,11200000
929115579,3000000
567379779,3000000
356125139,450000
792423222,500000
333241788,450000
899936386,5000000
707365563,500000
522011998,12000000
909265095,1000000
818040868,500000
888546454,1000000
903301913,3000000
938292595,3000000
866247778,450000
384754779,500000
911117717,500000
865406939,450000
329572399,450000
706027979,14000000
976111032,450000
943823307,1000000
862984079,450000
708086084,1000000
942166622,1000000
335260001,450000
568103168,3000000
343294234,450000
773362676,1000000
813861315,1000000
365444443,60000000
358525525,13900000
788888335,68800000
961580359,800000000
888866991,5000000
343310591,450000
763538338,1000000
865918568,450000
523991981,500000
905123254,500000
854100300,3000000
862943499,450000
367879677,5000000
329082839,450000
865686780,450000
326854399,450000
702131982,5000000
889797356,5000000
879160884,500000
398137788,190000000
763746646,1000000
908697333,5000000
762621961,1000000
933838386,1000000
987948476,450000
966689610,10000000
369891985,5000000
936330133,3000000
868652679,3000000
868929993,10000000
968366658,3000000
898529313,10000000
898311227,1000000
375760888,10000000
375954554,450000
344280184,450000
926368118,1000000
965034886,3000000
845678283,500000
352159179,10000000
965148524,500000
877152366,500000
862982228,450000
376295388,450000
911690139,3000000
775687678,1000000
865396766,450000
798666622,5000000
333417699,500000
386736286,450000
932338688,5000000
855996899,3000000
769264555,5000000
918358338,1000000
332892966,450000
343982017,450000
327762139,450000
762512812,1000000
979702011,3000000
762701983,1000000
342847889,450000
342872939,450000
773372543,1000000
979100610,11400000
966184579,3000000
847423678,11325000
368285789,1000000
327943969,5000000
986252050,3000000
382356268,450000
762644811,1000000
949470392,1000000
762534537,1000000
876246888,10000000
877010683,500000
789106969,10000000
926363359,1000000
879258288,500000
888863879,10300000
964444083,3000000
349228488,500000
936995595,3000000
329041639,450000
336503337,500000
329490639,3000000
889505697,3000000
856865986,10000000
919101141,5000000
827314678,11325000
795701012,1000000
388855922,800000000
944091367,500000
888675505,75000000
702692392,1000000
865989538,450000
945080959,500000
795593345,1000000
328004699,450000
786877774,1000000
705939799,1000000
818367779,3000000
837666279,5000000
326090693,450000
877117577,500000
836989879,3000000
793778899,71000000
865987654,450000
985625562,500000
786552233,14000000
325711141,450000
921697980,5000000
763539439,1000000
833181886,500000
901884588,3000000
827555886,500000
335830000,13600000
819111666,3000000
328480669,450000
326147299,450000
398059999,13900000
335190600,450000
769319939,1000000
383240191,450000
707355556,52000000
987552019,5000000
522341984,3000000
989160975,3000000
838858999,12900000
369967386,450000
925122009,1000000
943743227,3000000
944300694,1000000
942771970,10000000
931624777,5000000
867514679,1000000
934965486,3000000
762401379,3000000
909969612,500000
854218639,500000
783669900,3000000
762226666,3000000
342986379,450000
906176990,1000000
328661886,5000000
813297678,11325000
888882687,10300000
798779886,11000000
369766079,450000
522041994,12000000
523982008,500000
829012368,13900000
339021797,3000000
968381339,10000000
814066686,3000000
768179568,3000000
816868988,3000000
964903258,500000
782149555,5000000
898325774,1000000
358892939,5000000
335886636,90000000
983967785,450000
971197789,150000000
948108910,3000000
938221148,5000000
927502008,500000
325222007,5000000
763556551,10000000
965665665,5000000
352397169,299000
979880568,5000000
336736239,450000
799972972,3000000
708137131,1000000
332121286,3000000
941144664,5000000
877111822,500000
779183838,1000000
766669868,10400000
332712499,450000
846761333,1000000
799933777,5000000
763578345,1000000
566088688,3000000
848971678,11325000
969108028,3000000
813061976,5000000
819429678,11325000
934138558,500000
913134404,500000
942470223,3000000
812855866,3000000
815056839,3000000
705691666,5000000
971782022,3000000
707777888,5000000
877150804,500000
343300053,450000
886666696,65000000
794402879,500000
888344456,5000000
778500788,1000000
567649946,10000000
329300566,450000
858976986,3000000
938646636,3000000
886223444,5000000
903783179,3000000
921071992,12500000
929056768,3000000
972210163,450000
862928339,450000
799977970,3000000
763071797,1000000
865837840,450000
354637536,450000
888940418,1000000
813677997,3000000
326825466,450000
326516739,450000
909176870,1000000
707082222,3000000
847383838,5000000
359239222,5000000
926478578,120000000
763669664,1000000
843587386,500000
326594739,450000
972569611,450000
343180839,450000
967736707,5000000
876686839,11000000
984318986,3000000
823838878,14000000
978206179,3000000
945305179,1000000
965770222,500000
974127557,500000
702669456,1000000
902414078,1000000
336082539,450000
348952766,1000000
877007768,500000
368833638,299000
344001144,450000
877104779,500000
334879486,450000
865184479,450000
977378837,5000000
813369777,3000000
961842494,500000
327470286,450000
788841999,12500000
376213266,5000000
336002786,5000000
901687267,500000
857809678,3000000
972112568,11500000
826022027,10000000
336137866,450000
349923786,450000
816711677,3000000
359390199,450000
859457457,500000
783838078,3000000
355977898,1000000
773313654,5000000
334813188,450000
388368519,5000000
345980169,3000000
972215921,500000
865475378,450000
338127999,10000000
763061067,1000000
912530939,3000000
937229329,3000000
942697898,1000000
704411411,3000000
777040404,199000000
945662756,1000000
794225666,5000000
327530539,450000
909110637,1000000
763755758,1000000
357481088,500000
918048252,99000000
989052244,3000000
353480388,1000000
945878778,10000000
858060060,13200000
365777268,1000000
782827666,3000000
944708683,1000000
927609686,500000
857806886,15000000
852139666,3000000
879488681,500000
335204588,450000
862281168,5000000
326417586,450000
865062488,450000
353115229,450000
909746285,500000
916189903,1000000
563532001,1000000
343150876,450000
928955678,3000000
979246000,12000000
398791998,5000000
346061218,3000000
362079079,11900000
931369357,500000
939398635,12000000
966252786,3000000
918541106,1000000
969696163,3000000
963283628,500000
705907765,1000000
838222200,5000000
567132668,1000000
971537755,1000000
965799060,500000
868240686,3000000
909196984,12000000
334844467,450000
977540601,500000
902305993,500000
775686636,1000000
931231555,79000000
326577742,450000
947935070,1000000
869386386,58000000
342134953,5000000
842389678,11325000
764911555,3000000
877992241,500000
335830539,450000
866239678,450000
886706214,3000000
359014966,1000000
902919889,5000000
832666369,5000000
922687679,3000000
989789868,150000000
936185216,500000
369206906,500000
826889888,70000000
916081995,10500000
343356186,450000
946666643,3000000
825707707,11300000
763023923,1000000
877149977,500000
947699631,1000000
949089311,5000000
335922839,450000
568071779,3000000
343332332,450000
783774444,1000000
762667662,1000000
762289999,11000000
705297711,1000000
326691866,450000
981460746,450000
935886186,5000000
879286269,500000
523832002,500000
327732488,450000
905155120,500000
948423786,500000
927532006,500000
984064876,450000
909110856,1000000
918411996,500000
336150775,450000
379711221,14400000
763106070,1000000
868799368,12000000
344514439,450000
937211233,3000000
898909991,500000
777678437,1000000
936130183,500000
399130000,15000000
797226888,3000000
828009596,500000
924989196,500000
702792692,1000000
362894079,450000
982559930,10000000
376040781,450000
979823179,3000000
367021961,500000
824399998,3000000
981665092,1000000
915449900,13600000
963452024,5000000
325226626,500000
343191974,3000000
974376866,3000000
798888532,3000000
904750543,1000000
329310003,500000
886485562,1000000
339086568,500000
975520268,5000000
987278931,450000
767134999,3000000
898325507,1000000
822139666,3000000
909263881,1000000
866384784,450000
936697577,12800000
797051191,1000000
919318689,5000000
947966294,1000000
768986123,11250000
326160680,450000
789888701,1000000
764488488,13000000
879403322,500000
859034678,11325000
375686777,67000000
879612712,500000
903084646,500000
971967096,450000
877993009,500000
911201688,5000000
705507879,1000000
373051996,5000000
921423324,13900000
971955679,3000000
988888266,5000000
375298922,500000
985867898,120000000
919464989,3000000
971922346,500000
328784766,450000
937923486,500000
763011822,1000000
818731368,3000000
879287858,500000
384976399,3000000
916042142,10500000
901388379,3000000
337139668,5000000
708143149,1000000
334306179,450000
398982012,10000000
905058888,399000000
909348626,500000
896899090,5000000
989679748,450000
987052020,3000000
939892186,3000000
973893219,450000
792206666,64500000
336130266,450000
327557468,450000
363537667,10000000
825333330,5000000
332324188,450000
962959678,12000000
983582015,10000000
889898589,55000000
795333184,1000000
899515184,500000
343070566,450000
984297467,500000
328040482,450000
989080416,450000
763919399,500000
921651221,10000000
329362442,450000
945982061,1000000
936693036,500000
913329031,500000
867909999,115000000
981241194,3000000
829866866,5000000
783420520,15000000
867773392,500000
352573979,3000000
763638438,1000000
763665234,1000000
343220739,450000
763518018,1000000
947418167,1000000
898027171,500000
333154669,450000
866606006,10000000
908999596,10000000
327130904,450000
357241499,3000000
336010191,450000
799787222,5000000
855682288,1000000
344184686,450000
866926918,500000
931563168,1000000
359299139,3000000
924210777,5000000
342850539,450000
879879737,500000
335471279,450000
859438999,10000000
937141414,1000000
329989666,120000000
768282666,14000000
